Kanji,JLPT,Kunyomi,Onyomi,Indonesian,Contoh 1,Contoh 2
努,JLPT N3,つと.める,ド,Kerja keras; Rajin,努力 (doryoku) - upaya besar; pengerahan tenaga,努める (tsutomeru) - berusaha (berusaha); mencoba
精,JLPT N3,"しら.げる, くわ.しい","セイ, ショウ",Halus; Hantu,精神 (seishin) - pikiran; jiwa,精々 (seizei) - paling banyak; paling baik
散,JLPT N3,"ち.る, ち.らす, -ち.らす, ち.らかす, ち.らかる, ち.らばる, ばら, ばら.ける",サン,Menyebar; Membagi,"散る (chiru) - jatuh (misalnya, bunga, daun)",解散 (kaisan) - perpisahan; pembubaran
静,JLPT N3,"しず-, しず.か, しず.まる, しず.める","セイ, ジョウ",Diam,冷静 (reisei) - tenang; keteguhan hati,静か (shizuka) - tenang; sunyi
婚,JLPT N3,,コン,Pernikahan,離婚 (rikon) - perceraian,結婚 (kekkon) - pernikahan
喜,JLPT N3,"よろこ.ぶ, よろこ.ばす",キ,Bersukacitalah; Nikmatilah,喜び (yorokobi) - kegembiraan; kesenangan,喜ぶ (yorokobu) - merasa senang; merasa gembira
浮,JLPT N3,"う.く, う.かれる, う.かぶ, む, う.かべる",フ,Mengapung; Terapung,浮く (uku) - mengapung,浮かぶ (ukabu) - mengapung; tergantung
絶,JLPT N3,"た.える, た.やす, た.つ",ゼツ,Hentikan; Melampaui,絶対 (zettai) - benar-benar; tanpa syarat,絶えず (taezu) - terus-menerus; selalu
幸,JLPT N3,"さいわ.い, さち, しあわ.せ",コウ,Kebahagiaan; Berkah,不幸 (fukou) - ketidakbahagiaan; kesedihan,幸福 (koufuku) - kebahagiaan; keberkahan
押,JLPT N3,"お.す, お.し-, お.っ-, お.さえる, おさ.える",オウ,Dorong; Berhenti,押す (osu) - mendorong; menekan,押さえる (osaeru) - untuk menahan sesuatu; untuk memerangkap sesuatu
倒,JLPT N3,"たお.れる, -だお.れ, たお.す, さかさま, さかさ, さかしま",トウ,Penggulingan; Kejatuhan,面倒 (mendou) - masalah; kesulitan,倒れる (taoreru) - jatuh; roboh
等,JLPT N3,"ひと.しい, など, -ら",トウ,Dll.; Dan seterusnya,等 (nado) - dan lain sebagainya; dan seterusnya,高等 (koutou) - kelas atas; kualitas tinggi
老,JLPT N3,"お.いる, ふ.ける",ロウ,Pria tua; Usia tua,老い (oi) - usia tua; orang tua,老人 (roujin) - orang tua; lansia
曲,JLPT N3,"ま.がる, ま.げる, くま",キョク,Lengkungan; Musik,曲線 (kyokusen) - melengkung,曲げる (mageru) - membengkokkan; menekuk
払,JLPT N3,"はら.う, -はら.い, -ばら.い","フツ, ヒツ, ホツ",Bayar; Bersihkan,"払う (harau) - untuk membayar (misalnya uang, tagihan)",支払い (shiharai) - pembayaran
庭,JLPT N3,にわ,テイ,Halaman dalam; Taman,庭 (niwa) - taman; halaman,校庭 (koutei) - halaman sekolah; kampus
徒,JLPT N3,"いたずら, あだ",ト,Junior; Kekosongan,生徒 (seito) - murid,
勤,JLPT N3,"つと.める, -づと.め, つと.まる, いそ.しむ","キン, ゴン",Ketekunan; Mendapatkan pekerjaan,出勤 (shukkin) - kehadiran (di tempat kerja); berada di tempat kerja,通勤 (tsuukin) - perjalanan pulang pergi ke tempat kerja
遅,JLPT N3,"おく.れる, おく.らす, おそ.い",チ,Lambat; Terlambat,遅刻 (chikoku) - keterlambatan; datang terlambat,遅い (osoi) - lambat
居,JLPT N3,"い.る, -い, お.る","キョ, コ",Bertempat tinggal; Menjadi,居間 (ima) - ruang tamu (gaya Barat),芝居 (shibai) - bermain; drama
雑,JLPT N3,"まじ.える, まじ.る","ザツ, ゾウ",Aneka ragam,雑音 (zatsuon) - kebisingan (biasanya tidak menyenangkan),雑巾 (zoukin) - kain lap rumah; kain lap debu
招,JLPT N3,まね.く,ショウ,Memanggil; Mengundang,招く (maneku) - mengundang; meminta,招待 (shoutai) - undangan
困,JLPT N3,こま.る,コン,Dilema; Menjadi tertekan,困難 (konnan) - kesulitan; kesusahan,困る (komaru) - merasa gelisah; merasa khawatir
欠,JLPT N3,"か.ける, か.く","ケツ, ケン",Kekurangan; Kesenjangan,欠伸 (akubi) - menguap; menguap,欠陥 (kekkan) - cacat; kesalahan
更,JLPT N3,"さら, さら.に, ふ.ける, ふ.かす",コウ,Larut malam; Berjaga malam,変更 (henkou) - perubahan; modifikasi,更に (sarani) - selanjutnya; lagi
刻,JLPT N3,"きざ.む, きざ.み",コク,Mengukir; Memotong halus,彫刻 (choukoku) - ukiran; pahatan,刻む (kizamu) - mencincang; memotong halus
賛,JLPT N3,"たす.ける, たた.える",サン,Menyetujui; Memuji,賛成 (sansei) - persetujuan; kesepakatan,賛成する (sanseisuru) - persetujuan; kesepakatan
抱,JLPT N3,"だ.く, いだ.く, かか.える",ホウ,Peluk; Dekap,抱く (idaku) - merangkul; menggendong (misalnya bayi),抱える (kakaeru) - untuk memegang atau membawa di bawah atau di dalam lengan
犯,JLPT N3,おか.す,"ハン, ボン",Kejahatan; Dosa,防犯 (bouhan) - pencegahan kejahatan,犯人 (hannin) - pelaku kejahatan; kriminal
恐,JLPT N3,"おそ.れる, おそ.る, おそ.ろしい, こわ.い, こわ.がる",キョウ,Ketakutan; Kengerian,恐縮 (kyoushuku) - merasa berkewajiban; merasa bersyukur,恐怖 (kyoufu) - ketakutan; kengerian
息,JLPT N3,いき,ソク,Napas; Respirasi,息 (iki) - napas; bernapas,休息 (kyuusoku) - istirahat; kelegaan
遠,JLPT N3,とお.い,"エン, オン",Jauh; Terpencil,遠足 (ensoku) - tamasya; tamasya,永遠 (eien) - keabadian; kekekalan
戻,JLPT N3,"もど.す, もど.る",レイ,Kembali; Pulih,"戻る (modoru) - berbalik arah (misalnya, di tengah jalan)",払い戻す (haraimodosu) - untuk membayar kembali; untuk mengembalikan
願,JLPT N3,"ねが.う, -ねがい",ガン,Petisi; Permintaan,願い (negai) - keinginan; harapan,願う (negau) - untuk menginginkan; untuk mengharapkan
絵,JLPT N3,,"カイ, エ",Gambar; Menggambar,絵 (e) - gambar; lukisan,絵画 (kaiga) - gambar; lukisan
越,JLPT N3,"こ.す, -こ.す, -ご.し, こ.える, -ご.え","エツ, オツ",Melampaui; Melintasi,越す (kosu) - menyeberangi (misalnya gunung); melewati,寄越す (yokosu) - mengirim; meneruskan
欲,JLPT N3,"ほっ.する, ほ.しい",ヨク,Kerinduan; Ketamakan,食欲 (shokuyoku) - nafsu makan (untuk makanan),欲張り (yokubari) - keserakahan; ketamakan
痛,JLPT N3,"いた.い, いた.む, いた.ましい, いた.める",ツウ,Nyeri; Luka,痛み (itami) - rasa sakit; nyeri,苦痛 (kutsuu) - rasa sakit; penderitaan
笑,JLPT N3,"わら.う, え.む",ショウ,Tertawa,笑顔 (egao) - wajah tersenyum; senyum,笑い (warai) - tertawa; tawa
互,JLPT N3,"たが.い, かたみ.に",ゴ,Saling timbal balik; Bersama-sama,相互 (sougo) - saling; timbal balik,互い (tagai) - saling timbal balik; timbal balik
束,JLPT N3,"たば, たば.ねる, つか, つか.ねる",ソク,Bundel; Berkas,束 (taba) - bundel; seikat,約束 (yakusoku) - janji; kesepakatan
似,JLPT N3,"に.る, ひ.る",ジ,Menjadi; Menyerupai,真似 (mane) - meniru; menyalin,似る (niru) - menyerupai; terlihat seperti
列,JLPT N3,,"レツ, レ",Berkas; Baris,列 (retsu) - antrean; baris,行列 (gyouretsu) - barisan; antrean
探,JLPT N3,"さぐ.る, さが.す",タン,Meraba; Mencari,探る (saguru) - meraba-raba; mencari-cari,"探す (sagasu) - mencari (sesuatu yang diinginkan, dibutuhkan); mencari"
逃,JLPT N3,"に.げる, に.がす, のが.す, のが.れる",トウ,Melarikan diri; Menghindar,逃がす (nigasu) - untuk membebaskan; untuk melepaskan,逃げる (nigeru) - melarikan diri; kabur
遊,JLPT N3,"あそ.ぶ, あそ.ばす","ユウ, ユ",Bermain,遊び (asobi) - bermain,遊ぶ (asobu) - bermain; bersenang-senang
迷,JLPT N3,まよ.う,メイ,Tersesat; Bingung,迷信 (meishin) - takhayul; kepercayaan takhayul,迷子 (maigo) - anak hilang; orang hilang
夢,JLPT N3,"ゆめ, ゆめ.みる, くら.い","ム, ボウ",Mimpi; Penglihatan,夢 (yume) - mimpi,夢中 (muchuu) - linglung; (dalam) keadaan trans
君,JLPT N3,"きみ, -ぎみ",クン,Mantan siswa; Akhiran nama,君 (kimi) - kamu; teman,
閉,JLPT N3,"と.じる, と.ざす, し.める, し.まる, た.てる",ヘイ,Tertutup; Terkunci,"閉じる (tojiru) - untuk menutup (misalnya buku, mata, pertemuan, dll.); untuk menutup",閉まる (shimaru) - untuk ditutup; untuk menutup
緒,JLPT N3,"お, いとぐち","ショ, チョ",Thong; Awal,一緒 (issho) - bersama,
折,JLPT N3,"お.る, おり, お.り, -お.り, お.れる","セツ, シャク",Lipat; Patah,折角 (sekkaku) - dengan kesulitan; dengan susah payah,骨折 (kossetsu) - patah tulang
草,JLPT N3,"くさ, くさ-, -ぐさ",ソウ,Rumput; Gulma,草 (kusa) - rumput; gulma,草履 (zouri) - zori; sandal Jepang
暮,JLPT N3,"く.れる, く.らす",ボ,Penghidupan; Mencari nafkah,暮れ (kure) - matahari terbenam; senja,暮らし (kurashi) - kehidupan; penghidupan
酒,JLPT N3,"さけ, さか-",シュ,Sake; Alkohol,酒 (sake) - alkohol; sake,酒場 (sakaba) - bar; pub
悲,JLPT N3,"かな.しい, かな.しむ",ヒ,Sel penjara; Berduka,悲劇 (higeki) - tragedi; drama tragis,悲しむ (kanashimu) - merasa sedih; berduka cita
晴,JLPT N3,"は.れる, は.れ, は.れ-, -ば.れ, は.らす",セイ,Membersihkan,快晴 (kaisei) - cuaca cerah; cuaca tanpa awan,晴れ (hare) - cuaca cerah; cuaca baik
掛,JLPT N3,"か.ける, -か.ける, か.け, -か.け, -が.け, か.かる, -か.かる, -が.かる, か.かり, -が.かり, かかり, -がかり","カイ, ケイ",Gantung; Tunda,掛け算 (kakezan) - perkalian,腰掛け (koshikake) - tempat duduk; bangku
到,JLPT N3,いた.る,トウ,Kedatangan; Lanjutkan,"到着 (touchaku) - kedatangan  とうちゃく: ichi1, news1, nf08. nama: ichi1, berita1, nf08.",到頭 (toutou) - akhirnya; pada akhirnya
寝,JLPT N3,"ね.る, ね.かす, い.ぬ, みたまや, や.める",シン,Berbaring; Tidur,昼寝 (hirune) - tidur siang (sore); siesta,寝坊 (nebou) - tidur larut; bangun kesiangan
暗,JLPT N3,"くら.い, くら.む, くれ.る",アン,Kegelapan; Menghilang,暗記 (anki) - menghafal; menghafal,暗い (kurai) - gelap; suram
盗,JLPT N3,"ぬす.む, ぬす.み",トウ,Mencuri; Merampok,盗難 (tounan) - pencurian; perampokan,強盗 (goutou) - perampok; penjambret
吸,JLPT N3,す.う,キュウ,Hisap; Teguk,呼吸 (kokyuu) - pernapasan; respirasi,吸収 (kyuushuu) - penyerapan; daya hisap
陽,JLPT N3,ひ,ヨウ,Sinar matahari; Prinsip Yang,太陽 (taiyou) - matahari; surya,陽気 (youki) - ceria; riang
御,JLPT N3,"おん-, お-, み-","ギョ, ゴ",Terhormat; Memanipulasi,御 (go) - awalan hormat/sopan/rendah hati,御免 (gomen) - maaf; menolak (sesuatu)
歯,JLPT N3,"よわい, は, よわ.い, よわい.する",シ,Gigi; Roda Gigi,歯 (ha) - gigi,歯車 (haguruma) - roda gigi; roda bergerigi
忘,JLPT N3,わす.れる,ボウ,Lupa,忘れ物 (wasuremono) - barang hilang; sesuatu yang terlupakan,忘れる (wasureru) - melupakan; meninggalkan dengan ceroboh
雪,JLPT N3,ゆき,セツ,Salju,雪 (yuki) - salju,吹雪 (fubuki) - badai salju; badai salju
吹,JLPT N3,ふ.く,スイ,Tiup; Bernapas,吹雪 (fubuki) - badai salju; badai salju,"吹く (fuku) - meniup (misalnya, angin); memainkan alat musik tiup"
娘,JLPT N3,"むすめ, こ",ジョウ,Anak perempuan; Gadis,娘 (musume) - putriku,
誤,JLPT N3,"あやま.る, -あやま.る",ゴ,Kesalahan; Kekeliruan,誤り (ayamari) - kesalahan; kekeliruan,誤解 (gokai) - salah paham
洗,JLPT N3,あら.う,セン,Mencuci; Menyelidiki,洗剤 (senzai) - deterjen; bahan pencuci,洗う (arau) - untuk mencuci
慣,JLPT N3,"な.れる, な.らす",カン,Terbiasa; Membiasakan diri,習慣 (shuukan) - kebiasaan,慣れる (nareru) - untuk terbiasa; untuk menjadi akrab dengan
礼,JLPT N3,,"レイ, ライ",Hormat; Menunduk,礼 (rei) - terima kasih; rasa syukur,礼儀 (reigi) - tata krama; kesopanan
窓,JLPT N3,"まど, てんまど, けむだし","ソウ, ス",Jendela; Kaca,窓 (mado) - jendela,
昔,JLPT N3,むかし,"セキ, シャク",Dahulu kala; Zaman kuno,昔 (mukashi) - zaman dahulu; dahulu,
貧,JLPT N3,まず.しい,"ヒン, ビン",Kemiskinan; Orang miskin,貧しい (mazushii) - miskin; membutuhkan,
怒,JLPT N3,"いか.る, おこ.る","ド, ヌ",Marah; Merasa tersinggung,怒る (okoru) - menjadi marah; menjadi geram,怒鳴る (donaru) - berteriak; menjerit
泳,JLPT N3,およ.ぐ,エイ,Berenang,泳ぎ (oyogi) - renang,水泳 (suiei) - renang
祖,JLPT N3,,ソ,Leluhur; Pelopor,先祖 (senzo) - leluhur,祖先 (sosen) - leluhur
杯,JLPT N3,さかずき,ハイ,Takaran untuk cangkir; Gelas anggur,乾杯 (kanpai) - bersulang; minum (untuk merayakan atau menghormati sesuatu),"一杯 (ippai) - jumlah yang dibutuhkan untuk mengisi wadah (misalnya secangkir, sesendok, dll.); minuman (biasanya beralkohol)"
疲,JLPT N3,"つか.れる, -づか.れ, つか.らす",ヒ,Kelelahan; Lelah,疲れ (tsukare) - kelelahan; letih,疲れる (tsukareru) - menjadi lelah; membuat capek
皆,JLPT N3,"みな, みんな",カイ,Semua; Segala sesuatu,皆 (minna) - semua; setiap orang,皆さん (minasan) - semua; setiap orang
鳴,JLPT N3,"な.く, な.る, な.らす",メイ,Cicit; Tangisan,鳴る (naru) - bersuara; berdering,鳴く (naku) - bernyanyi (burung)
腹,JLPT N3,はら,フク,Perut; Lambung,腹 (hara) - perut; lambung,お腹 (onaka) - perut
煙,JLPT N3,"けむ.る, けむり, けむ.い",エン,Merokok,煙 (kemuri) - asap; uap,煙突 (entotsu) - cerobong asap; saluran asap (kapal)
眠,JLPT N3,"ねむ.る, ねむ.い",ミン,Tidur; Mati,睡眠 (suimin) - tidur,眠い (nemui) - mengantuk; lesu
怖,JLPT N3,"こわ.い, こわ.がる, お.じる, おそ.れる","フ, ホ",Mengerikan; Merasa takut,恐怖 (kyoufu) - ketakutan; kengerian,怖い (kowai) - menakutkan; mengerikan
耳,JLPT N3,みみ,ジ,Telinga,耳 (mimi) - telinga,
頂,JLPT N3,"いただ.く, いただき",チョウ,Letakkan di kepala; Terima,頂点 (chouten) - puncak; titik tertinggi,頂戴 (choudai) - menerima; penerimaan
箱,JLPT N3,はこ,ソウ,Kotak; Peti,箱 (hako) - kotak; wadah,
晩,JLPT N3,,バン,Senja; Malam,晩 (ban) - malam,今晩 (konban) - malam ini; sore ini
寒,JLPT N3,さむ.い,カン,Dingin,寒帯 (kantai) - zona dingin,寒い (samui) - dingin (misalnya cuaca)
髪,JLPT N3,かみ,ハツ,Rambut kepala,髪 (kami) - rambut (di kepala),白髪 (shiraga) - rambut putih; rambut abu-abu
忙,JLPT N3,"いそが.しい, せわ.しい, おそ.れる, うれえるさま","ボウ, モウ",Sibuk; Terisi,忙しい (isogashii) - sibuk; terisi,
才,JLPT N3,,サイ,Jenius; Berumur,才能 (sainou) - bakat; kemampuan,
靴,JLPT N3,くつ,カ,Sepatu,靴 (kutsu) - sepatu; sepatu bot,靴下 (kutsushita) - kaus kaki; stoking
恥,JLPT N3,"は.じる, はじ, は.じらう, は.ずかしい",チ,Malu; Aib,恥ずかしい (hazukashii) - malu; merasa dipermalukan,
偶,JLPT N3,たま,グウ,Secara tidak sengaja; Angka genap,偶数 (guusuu) - angka genap,偶然 (guuzen) - (secara) kebetulan; secara tak terduga
偉,JLPT N3,えら.い,イ,Mengagumkan; Kehebatan,偉い (erai) - hebat; luar biasa,偉大 (idai) - kebesaran
猫,JLPT N3,ねこ,ビョウ,Kucing,猫 (neko) - kucing,
幾,JLPT N3,"いく-, いく.つ, いく.ら",キ,Berapa banyak; Berapa banyak,幾分 (ikubun) - agak; sampai batas tertentu,幾ら (ikura) - berapa harganya?; berapa banyak?
党,JLPT N2,"なかま, むら",トウ,Partai; Fraksi,党 (tou) - partai (politik),政党 (seitou) - partai politik
協,JLPT N2,,キョウ,Kerjasama,協力 (kyouryoku) - kerja sama; kolaborasi,協力する (kyouryokusuru) - kerja sama; kolaborasi
総,JLPT N2,"す.べて, すべ.て, ふさ",ソウ,Umum; Keseluruhan,総理大臣 (souridaijin) - perdana menteri (sebagai kepala pemerintahan kabinet); perdana menteri,
区,JLPT N2,,"ク, オウ, コウ",Lingkungan; Distrik,区分 (kubun) - pembagian; bagian,区域 (kuiki) - batas; wilayah
領,JLPT N2,えり,リョウ,Yurisdiksi; Kekuasaan,領事 (ryouji) - konsul,領収 (ryoushuu) - tanda terima; voucher
県,JLPT N2,か.ける,ケン,Prefektur,県 (ken) - prefektur (Jepang),県庁 (kenchou) - kantor prefektur
設,JLPT N2,もう.ける,セツ,Pendirian; Penyediaan,建設 (kensetsu) - konstruksi; pendirian,設計 (sekkei) - rencana; desain
改,JLPT N2,"あらた.める, あらた.まる",カイ,Reformasi; Perubahan,改札 (kaisatsu) - pemeriksaan tiket,改正 (kaisei) - revisi; amandemen
府,JLPT N2,,フ,Distrik; Prefektur perkotaan,政府 (seifu) - pemerintah; administrasi,
査,JLPT N2,,サ,Menyelidiki,巡査 (junsa) - petugas polisi; polisi,調査 (chousa) - investigasi; pemeriksaan
委,JLPT N2,ゆだ.ねる,イ,Komite; Mempercayakan kepada,委員 (iin) - anggota komite,
軍,JLPT N2,いくさ,グン,Tentara; Pasukan,軍 (gun) - tentara; pasukan,軍隊 (guntai) - angkatan bersenjata; militer
団,JLPT N2,"かたまり, まる.い","ダン, トン",Kelompok; Asosiasi,団地 (danchi) - apartemen multi-unit; kompleks apartemen,団体 (dantai) - organisasi; perkumpulan
各,JLPT N2,おのおの,カク,Masing-masing; Setiap,各地 (kakuchi) - setiap tempat; berbagai tempat,各自 (kakuji) - masing-masing (orang); setiap orang
島,JLPT N2,しま,トウ,Pulau,島 (shima) - pulau,半島 (hantou) - semenanjung
革,JLPT N2,かわ,カク,Kulit; Menjadi serius,革 (kawa) - kulit,
村,JLPT N2,むら,ソン,Kota; Desa,村 (mura) - desa,農村 (nouson) - komunitas pertanian; desa pertanian
勢,JLPT N2,"いきお.い, はずみ","セイ, ゼイ",Kekuatan; Energi,姿勢 (shisei) - sikap; postur,勢い (ikioi) - kekuatan; semangat
減,JLPT N2,"へ.る, へ.らす",ゲン,Menipis; Berkurang,"増減 (zougen) - menambah dan mengurangi; fluktuasi  ぞうげん: ichi1, news1, nf17. nama: ichi1, berita1, nf17.",減る (heru) - berkurang (ukuran atau jumlah); mengecil
再,JLPT N2,ふたた.び,"サイ, サ",Lagi; Dua kali,再三 (saisan) - lagi dan lagi; berulang-ulang,再び (futatabi) - lagi; sekali lagi
税,JLPT N2,,ゼイ,Pajak; Bea Cukai,税 (zei) - pajak,課税 (kazei) - perpajakan
営,JLPT N2,"いとな.む, いとな.み",エイ,Pekerjaan; Kamp,営業 (eigyou) - bisnis; perdagangan,経営 (keiei) - manajemen; administrasi
比,JLPT N2,くら.べる,ヒ,Bandingkan; Ras,比較 (hikaku) - perbandingan,比較的 (hikakuteki) - perbandingan; relatif
防,JLPT N2,ふせ.ぐ,ボウ,Menghalau; Membela,防犯 (bouhan) - pencegahan kejahatan,防止 (boushi) - pencegahan; periksa
補,JLPT N2,おぎな.う,ホ,Suplemen; Pasokan,"補う (oginau) - untuk mengkompensasi; untuk melengkapi  おぎなう: ichi1, news2, nf43. artinya: ichi1, berita2, nf43.",候補 (kouho) - kandidat; pesaing
境,JLPT N2,さかい,"キョウ, ケイ",Batas; Perbatasan,境 (sakai) - perbatasan; batas,環境 (kankyou) - lingkungan; keadaan
導,JLPT N2,みちび.く,ドウ,Bimbingan; Kepemimpinan,指導 (shidou) - kepemimpinan; bimbingan,指導する (shidousuru) - kepemimpinan; bimbingan
副,JLPT N2,,フク,Wakil; Duplikat,副詞 (fukushi) - kata keterangan,
算,JLPT N2,そろ,サン,Menghitung; Meramalkan,算数 (sansuu) - hitung,算盤 (soroban) - sempoa
輸,JLPT N2,,"ユ, シュ",Transportasi; Kirim,輸血 (yuketsu) - transfusi darah,輸送 (yusou) - transportasi; pengangkutan
述,JLPT N2,の.べる,ジュツ,Sebutkan; Nyatakan,述語 (jutsugo) - predikat,述べる (noberu) - menyatakan; mengungkapkan
線,JLPT N2,すじ,セン,Garis; Jalur,線 (sen) - garis; garis-garis,直線 (chokusen) - garis lurus
農,JLPT N2,,ノウ,Pertanian; Petani,農村 (nouson) - komunitas pertanian; desa pertanian,"農薬 (nouyaku) - bahan kimia pertanian (misalnya pestisida, herbisida, fungisida, dll.); agrokimia"
州,JLPT N2,す,"シュウ, ス",Negara Bagian; Provinsi,州 (shuu) - negara bagian; provinsi,
武,JLPT N2,"たけ, たけ.し","ブ, ム",Prajurit; Militer,武士 (bushi) - prajurit; samurai,武器 (buki) - senjata; persenjataan
象,JLPT N2,かたど.る,"ショウ, ゾウ",Gajah; Pola setelah,象 (zou) - gajah (Elephantidae spp.),抽象 (chuushou) - abstrak
域,JLPT N2,,イキ,Jangkauan; Wilayah,区域 (kuiki) - batas; wilayah,流域 (ryuuiki) - cekungan (sungai)
額,JLPT N2,ひたい,ガク,Dahi; Tablet,額 (gaku) - gambar (berbingkai),金額 (kingaku) - jumlah uang
欧,JLPT N2,"うた.う, は.く",オウ,Eropa,欧米 (oubei) - Eropa dan Amerika; Barat,欧羅巴 (yo-roppa) - Eropa
担,JLPT N2,"かつ.ぐ, にな.う",タン,Mengangkat; Membawa,担ぐ (katsugu) - memikul; membawa di pundak,"担当 (tantou) - bertanggung jawab (atas suatu bidang tanggung jawab); bertanggung jawab (atas suatu peran pekerjaan, dll.)"
準,JLPT N2,"じゅん.じる, じゅん.ずる, なぞら.える, のり, ひと.しい, みずもり",ジュン,Semi-; Sesuai dengan,標準 (hyoujun) - standar; tingkat,基準 (kijun) - standar; dasar
賞,JLPT N2,ほ.める,ショウ,Hadiah; Penghargaan,賞 (shou) - hadiah; penghargaan,"鑑賞 (kanshou) - apresiasi (misalnya, terhadap seni); rasa estetika"
辺,JLPT N2,"あた.り, ほと.り, -べ",ヘン,Sekitarnya; Batas,辺 (hen) - daerah; sekitar,周辺 (shuuhen) - keliling; pinggiran kota
造,JLPT N2,"つく.る, つく.り, -づく.り",ゾウ,Menciptakan; Membuat,人造 (jinzou) - buatan manusia; sintetis,改造 (kaizou) - perombakan; renovasi
被,JLPT N2,"こうむ.る, おお.う, かぶ.る, かぶ.せる",ヒ,Menimbulkan; Menutupi,被害 (higai) - (penderitaan) kerusakan; cedera,被る (kaburu) - untuk mengenakan (di atas kepala); untuk memakai
技,JLPT N2,わざ,ギ,Keterampilan; Seni,演技 (engi) - akting; pertunjukan,技師 (gishi) - insinyur; teknisi
低,JLPT N2,"ひく.い, ひく.める, ひく.まる",テイ,Lebih rendah; Pendek,低下 (teika) - penurunan; kemerosotan,最低 (saitei) - paling sedikit; terendah
復,JLPT N2,また,フク,Pulihkan; Kembali ke,往復 (oufuku) - melakukan perjalanan pulang pergi; pergi dan kembali,回復 (kaifuku) - pemulihan; rehabilitasi
移,JLPT N2,"うつ.る, うつ.す",イ,Geser; Pindah,移転 (iten) - pindah; relokasi,移動 (idou) - pergerakan; pemindahan
個,JLPT N2,,"コ, カ",Individu; Penghitung untuk barang dan unit militer,個体 (kotai) - individu; spesimen,個人 (kojin) - individu; orang pribadi
門,JLPT N2,"かど, と",モン,Gerbang,門 (mon) - gerbang,正門 (seimon) - gerbang utama; pintu masuk utama
課,JLPT N2,,カ,Bab; Pelajaran,課 (ka) - pelajaran,課程 (katei) - kursus; kurikulum
脳,JLPT N2,のうずる,"ノウ, ドウ",Otak; Memori,頭脳 (zunou) - kepala; otak,
極,JLPT N2,"きわ.める, きわ.まる, きわ.まり, きわ.み, き.める, -ぎ.め, き.まる","キョク, ゴク",Tiang; Permukiman,極 (kyoku) - tiang,北極 (hokkyoku) - Kutub Utara
含,JLPT N2,"ふく.む, ふく.める",ガン,Sertakan; Ingatlah,含む (fukumu) - untuk mengandung; untuk terdiri dari,含める (fukumeru) - untuk memasukkan (dalam suatu kelompok atau lingkup)
蔵,JLPT N2,"くら, おさ.める, かく.れる","ゾウ, ソウ",Gudang; Sembunyikan,貯蔵 (chozou) - penyimpanan; pengawetan,冷蔵庫 (reizouko) - lemari es
量,JLPT N2,はか.る,リョウ,Kuantitas; Ukuran,量 (ryou) - kuantitas; jumlah,分量 (bunryou) - jumlah; kuantitas
型,JLPT N2,"かた, -がた",ケイ,Cetakan; Tipe,"型 (kata) - model; tipe (misalnya mesin, barang, dll.)",典型 (tenkei) - tipe; pola
況,JLPT N2,"まし.て, いわ.んや, おもむき",キョウ,Kondisi; Situasi,状況 (joukyou) - keadaan (di sekitar Anda); situasi,
針,JLPT N2,はり,シン,Jarum; Peniti,針 (hari) - jarum; peniti,針金 (harigane) - kabel
専,JLPT N2,もっぱ.ら,セン,Spesial; Eksklusif,専制 (sensei) - despotisme; otokrasi,専制する (senseisuru) - despotisme; otokrasi
谷,JLPT N2,"たに, きわ.まる",コク,Lembah,谷 (tani) - lembah,
史,JLPT N2,,シ,Sejarah; Kronik,歴史 (rekishi) - sejarah,
階,JLPT N2,きざはし,カイ,Lantai; Tangga,段階 (dankai) - tingkatan; level,階段 (kaidan) - tangga; anak tangga
管,JLPT N2,くだ,カン,Pipa; Tabung,管 (kan) - pipa; tabung,"管理 (kanri) - kontrol; manajemen (misalnya, manajemen bisnis)"
兵,JLPT N2,つわもの,"ヘイ, ヒョウ",Prajurit; Tentara,兵隊 (heitai) - tentara; pelaut,
接,JLPT N2,つ.ぐ,"セツ, ショウ",Sentuh; Kontak,間接 (kansetsu) - tidak langsung; ketidaklangsungan,面接 (mensetsu) - wawancara (misalnya untuk pekerjaan)
細,JLPT N2,"ほそ.い, ほそ.る, こま.か, こま.かい",サイ,Mungil; Menjadi kurus,細い (hosoi) - tipis; ramping,細かい (komakai) - kecil
効,JLPT N2,"き.く, ききめ, なら.う",コウ,Keunggulan; Kemanjuran,効力 (kouryoku) - efek; kemanjuran,効く (kiku) - menjadi efektif; menunjukkan efek.
丸,JLPT N2,"まる, まる.める, まる.い",ガン,Bulat; Penuh,丸 (maru) - lingkaran,丸で (marude) - cukup; seluruhnya
湾,JLPT N2,いりえ,ワン,Teluk; Muara,湾 (wan) - teluk; selat,
録,JLPT N2,"しる.す, と.る",ロク,Catatan,録音 (rokuon) - rekaman (audio),記録 (kiroku) - catatan; risalah
省,JLPT N2,"かえり.みる, はぶ.く","セイ, ショウ",Fokus; Kementerian pemerintah,反省 (hansei) - refleksi; pertimbangan ulang,省略 (shouryaku) - penghilangan; singkatan
旧,JLPT N2,"ふる.い, もと",キュウ,Masa lalu; Benda-benda lama,旧 (kyuu) - mantan; mantan,
橋,JLPT N2,はし,キョウ,Menjembatani,橋 (hashi) - menjembatani,鉄橋 (tekkyou) - jembatan kereta api; jembatan besi
岸,JLPT N2,きし,ガン,Pantai,岸 (kishi) - tepi sungai; pantai,海岸 (kaigan) - pesisir; pantai
